kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
9490653,K04173.01,,1.227986164,1.17,1
8885673,K02611.01,,1.228721184,1.62,1
10661913,K07355.01,,1.231330630,0.54,1
10661718,K03931.01,,1.231361934,2.93,1
10661679,K05818.01,,1.231383390,0.82,1
10662021,K07357.01,,1.231405220,0.81,1
10661917,K04901.01,,1.231423950,0.77,1
4851239,K04851.01,,1.235124290,0.38,1
4851356,K06462.01,,1.235134710,0.70,1
4851338,K06461.01,,1.235164160,0.92,1
4851283,K07710.01,,1.235175880,1.59,1
4851145,K04688.01,,1.235214580,0.93,1
11518201,K03104.01,,1.236866732,1.75,1
6697605,K02851.02,,1.239357450,1.50,2
5475042,K03050.01,,1.242639742,1.02,1
6206559,K03240.01,,1.245331397,1.61,1
6612284,K02908.01,,1.245353252,1.48,1
8164012,K02116.01,Kepler-1106 b,1.252753881,2.44,1
6292732,K06686.01,,1.253388260,0.64,1
5177065,K07556.01,,1.253831620,0.47,1
4768846,K02077.01,,1.254832320,2.89,1
5091075,K06514.01,,1.256257380,1.32,1
2989706,K02692.01,,1.257689465,2.45,1
10265898,K00732.01,Kepler-656 b,1.260258822,3.57,3
3330684,K04533.01,,1.261327690,0.14,1
5809890,K01050.01,Kepler-755 b,1.269091415,1.41,2
9656547,K07956.01,,1.272287710,0.63,1
7703910,K04379.01,,1.275511306,0.84,1
11252617,K06236.02,,1.276208990,1.46,2
4664743,K04642.01,,1.278393310,0.86,1
10815677,K07376.01,,1.284241817,1.18,1
7847104,K04412.01,,1.284991846,1.17,1
4933476,K06122.01,,1.286196710,1.27,1
10386984,K00739.01,Kepler-658 b,1.287076693,1.39,1
9597854,K07201.01,,1.287097944,0.89,1
5717567,K02752.01,,1.287622419,0.87,1
5272571,K06550.01,,1.288046428,2.18,1
5097470,K02767.01,,1.288058340,1.08,1
6584278,K06733.01,,1.289408230,2.48,1
11283615,K02816.01,Kepler-1355 b,1.289590179,1.38,1
4764774,K04825.01,,1.290195860,0.78,1
4138951,K02866.01,Kepler-1373 b,1.291233083,0.89,1
12469800,K02543.01,Kepler-1856 b,1.302017467,1.37,1
3654095,K02667.01,,1.303576682,1.51,1
6066416,K01057.01,,1.303859704,0.98,1
4574319,K07697.01,,1.306272140,0.87,1
8681833,K02865.01,Kepler-1372 b,1.311558909,1.15,1
3541946,K00624.03,Kepler-198 d,1.311842968,1.43,3
3747262,K03005.01,,1.312459403,1.65,1
9007609,K04795.01,,1.316398648,1.09,1
6720773,K04868.01,,1.318347743,1.23,1
5039129,K02546.01,,1.319677953,1.13,1
7552701,K03994.01,,1.324247867,1.30,1
9049697,K05607.01,,1.327451100,0.66,1
9758032,K03137.01,,1.332035996,0.85,1
9959765,K07981.01,,1.332504510,0.62,1
9777256,K02997.01,,1.332515890,1.30,1
9777290,K04316.01,,1.332519480,1.64,1
6590307,K07787.01,,1.332538340,0.64,1
9899256,K07972.01,,1.332540240,0.59,1
9777757,K04243.01,,1.332542120,1.45,1
9838761,K07967.01,,1.332544280,0.93,1
9899233,K04090.01,,1.332547503,1.23,1
9899217,K03979.01,,1.332549710,1.36,1
9777251,K02600.01,,1.332550870,1.19,1
9282762,K04113.01,,1.332554410,1.12,1
9899621,K07974.01,,1.332554920,0.92,1
9899514,K05729.01,,1.332555770,0.97,1
9959368,K07980.01,,1.332558010,0.62,1
9899181,K02867.01,,1.332560553,0.40,2
9899280,K01559.01,,1.332560589,1.40,1
9899483,K01719.01,,1.332561398,2.16,1
9899153,K07243.01,,1.332561670,0.63,1
9899065,K04108.01,,1.332564180,0.81,1
9716302,K04142.01,,1.332566763,1.49,1
9959545,K04195.01,,1.332567643,0.62,1
9899193,K07244.01,,1.332567821,0.96,1
9959494,K03205.01,,1.332568744,0.58,1
9899141,K03254.01,,1.332569440,0.46,1
9838804,K03028.01,,1.332569520,1.06,2
9899315,K04181.01,,1.332569790,0.97,2
9838537,K07966.01,,1.332577150,0.44,1
9777200,K04455.01,,1.332580225,2.18,1
9899583,K07248.01,,1.332583750,0.84,1
9777724,K04197.01,,1.332584580,1.25,1
9959492,K03051.02,,1.332587720,1.13,2
9899577,K07247.01,,1.332589810,0.67,1
9899216,K07971.01,,1.332590030,0.69,1
9899623,K07975.01,,1.332590950,1.14,1
9899607,K05730.01,,1.332592750,0.97,1
9838608,K04677.01,,1.332594940,0.89,1
9838414,K05717.01,,1.332614580,3.65,1
4826110,K01524.01,,1.333395306,0.86,1
3248033,K00006.01,,1.334101467,1.74,1
5273713,K07722.01,,1.337561836,1.11,1
8396660,K04407.01,,1.338070750,0.60,1
4945877,K01936.01,,1.339670241,1.27,1
4278221,K01615.01,Kepler-908 b,1.340596782,1.16,1
