kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
5358241,K00829.03,Kepler-53 c,38.557654600,4.02,3
5358624,K00830.01,Kepler-428 b,3.525632539,11.58,1
4544670,K00815.01,,34.843986440,7.61,1
4664847,K00816.01,Kepler-690 b,7.748094239,5.52,1
4725681,K00817.01,Kepler-236 c,23.967936690,1.80,2
4725681,K00817.02,Kepler-236 b,8.295617380,1.82,2
4913852,K00818.01,Kepler-691 b,8.114374820,2.10,1
4932348,K00819.01,,38.036729482,27.50,1
4936180,K00820.01,,4.640900310,30.09,1
11913073,K00011.01,,3.747838198,13.65,1
10875245,K00117.01,Kepler-107 e,14.749148250,2.89,4
5021899,K00821.01,Kepler-692 b,21.812959960,3.38,1
5077629,K00822.01,,7.919369370,10.34,1
5115978,K00823.01,,1.028436523,72.77,1
5164255,K00824.01,Kepler-693 b,15.375623690,11.01,1
5252423,K00825.01,Kepler-237 c,8.103632710,2.11,2
5252423,K00825.02,Kepler-237 b,4.715108430,1.46,2
5272878,K00826.01,Kepler-694 b,6.365839713,2.44,1
5283542,K00827.01,,5.975817540,3.86,1
5649215,K00839.01,,2.446737317,26.25,1
5651104,K00840.01,Kepler-695 b,3.040330460,8.99,1
5792202,K00841.01,Kepler-27 b,15.335286750,5.00,5
10875245,K00117.04,Kepler-107 d,7.958253280,1.06,4
5792202,K00841.02,Kepler-27 c,31.330461350,6.50,5
5370302,K00831.01,,3.904342500,12.28,1
5372966,K00832.01,,9.286358079,17.61,1
5376067,K00833.01,,3.951405455,31.44,1
5436502,K00834.01,Kepler-238 e,23.653694150,7.89,5
5436502,K00834.02,Kepler-238 d,13.233522140,3.06,5
5436502,K00834.03,Kepler-238 c,6.155602850,2.32,5
5436502,K00834.04,Kepler-238 b,2.090811305,1.62,5
10875245,K00117.03,Kepler-107 b,3.180027898,1.53,4
5436502,K00834.05,Kepler-238 f,50.446741700,2.67,5
5456651,K00835.01,Kepler-239 b,11.763071640,2.35,2
5456651,K00835.02,Kepler-239 c,56.227927100,2.37,2
5481416,K00836.01,,2.384052875,17.06,1
5531576,K00837.01,Kepler-240 c,7.953547000,2.25,2
5531576,K00837.02,Kepler-240 b,4.144516560,1.48,2
5534814,K00838.01,,4.859386384,38.33,1
6291653,K00850.01,Kepler-702 b,10.526294577,8.24,1
6392727,K00851.01,Kepler-703 b,4.583520948,5.39,1
6422070,K00852.01,Kepler-704 b,3.761818430,2.66,1
6428700,K00853.01,Kepler-242 b,8.203969580,3.01,2
6428700,K00853.02,Kepler-242 c,14.496451860,3.01,2
5792202,K00841.03,Kepler-27 d,6.546261490,2.19,5
5794379,K00842.01,Kepler-241 b,12.718098660,2.31,2
5794379,K00842.02,Kepler-241 c,36.065881630,2.64,2
5881688,K00843.01,Kepler-696 b,4.190425659,6.21,1
6022556,K00844.01,Kepler-697 b,3.709870784,4.35,1
6032497,K00845.01,Kepler-698 b,16.329752700,3.75,1
6061119,K00846.01,Kepler-699 b,27.807566216,13.84,1
6191521,K00847.01,Kepler-700 b,80.872346900,7.59,1
6267425,K00848.01,,3.166465862,26.82,1
3531558,K00118.01,Kepler-467 b,24.993243190,2.29,1
